TIMESTAMP,NOM_TILT,ANGLE_X,ANGLE_Y,ANGLE_Z,TEMPERATURE,INTENSITE_SIGNAL,SIGMA
"2020-3-13 10:53:15",0A000055, 86.8552, -2.4142, -2.016, 10.18, -82, 0
"2020-3-13 11:03:15",0A000055, 86.855, -2.4144, -2.0162, 10.84, -89, 0
"2020-3-13 11:13:16",0A000055, 86.8626, -2.4086, -2.0097, 11.82, -83, 0
"2020-3-13 11:23:17",0A000055, 86.8661, -2.4054, -2.0079, 13.06, -87, 0
"2020-3-13 11:33:17",0A000055, 86.8765, -2.3985, -2.0008, 15.3, -81, 0
"2020-3-13 11:43:18",0A000055, 86.8873, -2.3951, -1.9887, 16.22, -85, 0
"2020-3-13 11:53:18",0A000055, 86.8926, -2.3941, -1.9824, 16.17, -86, 0
"2020-3-13 12:03:19",0A000055, 86.8955, -2.3925, -1.9792, 15.78, -85, 0
"2020-3-13 12:13:19",0A000055, 86.8943, -2.3942, -1.9795, 15.93, -85, 0
"2020-3-13 12:23:20",0A000055, 86.9004, -2.3892, -1.9752, 17.31, -89, 0
"2020-3-13 12:33:20",0A000055, 86.9113, -2.3827, -1.9658, 18.75, -88, 0
"2020-3-13 12:43:21",0A000055, 86.9153, -2.38, -1.9626, 19.11, -89, 0
"2020-3-13 12:53:21",0A000055, 86.9186, -2.3786, -1.9595, 19.35, -88, 0
"2020-3-13 13:03:22",0A000055, 86.924, -2.3741, -1.9563, 20.63, -82, 0
"2020-3-13 13:13:22",0A000055, 86.9336, -2.3675, -1.9489, 22.58, -76, 0
"2020-3-13 13:23:23",0A000055, 86.9475, -2.3591, -1.937, 24.48, -79, 0
"2020-3-13 13:33:23",0A000055, 86.9476, -2.3622, -1.9325, 22.51, -79, 0
"2020-3-13 13:43:24",0A000055, 86.9418, -2.3678, -1.9351, 20.95, -85, 0
"2020-3-13 13:53:24",0A000055, 86.9438, -2.3654, -1.9342, 20.46, -79, 0
"2020-3-13 14:03:25",0A000055, 86.9357, -2.3725, -1.9394, 19.33, -82, 0
"2020-3-13 14:13:25",0A000055, 86.9376, -2.3719, -1.9368, 18.99, -85, 0
"2020-3-13 14:23:26",0A000055, 86.9387, -2.3716, -1.9353, 18.33, -83, 0
"2020-3-13 14:33:26",0A000055, 86.9378, -2.3709, -1.9373, 18.23, -86, 0
"2020-3-13 14:43:27",0A000055, 86.9354, -2.3725, -1.9401, 17.8, -93, 0
"2020-3-13 14:53:27",0A000055, 86.9337, -2.3732, -1.942, 17.31, -89, 0
"2020-3-13 15:03:28",0A000055, 86.9321, -2.3751, -1.9425, 16.85, -81, 0
"2020-3-13 15:13:28",0A000055, 86.9239, -2.3781, -1.9513, 16.43, -83, 0
"2020-3-13 15:23:29",0A000055, 86.9255, -2.377, -1.9505, 16.04, -82, 0
"2020-3-13 15:33:29",0A000055, 86.9192, -2.3808, -1.9556, 15.71, -83, 0
"2020-3-13 15:43:30",0A000055, 86.9214, -2.3792, -1.9543, 15.46, -79, 0
"2020-3-13 15:53:30",0A000055, 86.9193, -2.3803, -1.9565, 15.21, -80, 0
"2020-3-13 16:03:31",0A000055, 86.9174, -2.3805, -1.9588, 15.06, -85, 0
"2020-3-13 16:13:31",0A000055, 86.9164, -2.3813, -1.9596, 14.89, -82, 0
"2020-3-13 16:23:32",0A000055, 86.9147, -2.3819, -1.9613, 14.58, -87, 0
"2020-3-13 16:33:32",0A000055, 86.9121, -2.3832, -1.964, 14.23, -89, 0
"2020-3-13 16:43:33",0A000055, 86.9115, -2.3842, -1.9638, 14.12, -88, 0
"2020-3-13 16:53:33",0A000055, 86.9104, -2.3848, -1.9649, 14.03, -86, 0
"2020-3-13 17:03:34",0A000055, 86.9093, -2.3851, -1.9664, 13.77, -83, 0
"2020-3-13 17:13:35",0A000055, 86.9038, -2.3881, -1.9711, 13.54, -87, 0
"2020-3-13 17:23:35",0A000055, 86.9022, -2.3892, -1.9724, 13.45, -85, 0
