Time,Temp1,udef1
2020-3-13 10:53:15,10.18,-2.4142
2020-3-13 11:03:15,10.84,-2.4144
2020-3-13 11:13:16,11.82,-2.4086
2020-3-13 11:23:17,13.06,-2.4054
2020-3-13 11:33:17,15.3,-2.3985
2020-3-13 11:43:18,16.22,-2.3951
2020-3-13 11:53:18,16.17,-2.3941
2020-3-13 12:03:19,15.78,-2.3925
2020-3-13 12:13:19,15.93,-2.3942
2020-3-13 12:23:20,17.31,-2.3892
2020-3-13 12:33:20,18.75,-2.3827
2020-3-13 12:43:21,19.11,-2.38
2020-3-13 12:53:21,19.35,-2.3786
2020-3-13 13:03:22,20.63,-2.3741
2020-3-13 13:13:22,22.58,-2.3675
2020-3-13 13:23:23,24.48,-2.3591
2020-3-13 13:33:23,22.51,-2.3622
2020-3-13 13:43:24,20.95,-2.3678
2020-3-13 13:53:24,20.46,-2.3654
2020-3-13 14:03:25,19.33,-2.3725
2020-3-13 14:13:25,18.99,-2.3719
2020-3-13 14:23:26,18.33,-2.3716
2020-3-13 14:33:26,18.23,-2.3709
2020-3-13 14:43:27,17.8,-2.3725
2020-3-13 14:53:27,17.31,-2.3732
2020-3-13 15:03:28,16.85,-2.3751
2020-3-13 15:13:28,16.43,-2.3781
2020-3-13 15:23:29,16.04,-2.377
2020-3-13 15:33:29,15.71,-2.3808
2020-3-13 15:43:30,15.46,-2.3792
2020-3-13 15:53:30,15.21,-2.3803
2020-3-13 16:03:31,15.06,-2.3805
2020-3-13 16:13:31,14.89,-2.3813
2020-3-13 16:23:32,14.58,-2.3819
2020-3-13 16:33:32,14.23,-2.3832
2020-3-13 16:43:33,14.12,-2.3842
2020-3-13 16:53:33,14.03,-2.3848
2020-3-13 17:03:34,13.77,-2.3851
2020-3-13 17:13:35,13.54,-2.3881
2020-3-13 17:23:35,13.45,-2.3892
2020-3-13 17:33:36,13.31,-2.3893
2020-3-13 17:53:37,12.74,-2.389
2020-3-13 18:03:37,12.38,-2.3904
2020-3-13 18:13:38,12.05,-2.3912
2020-3-13 18:23:38,11.74,-2.3924
2020-3-13 18:33:39,11.45,-2.3936
2020-3-13 18:43:39,11.13,-2.3966
2020-3-13 18:53:40,10.84,-2.3955
2020-3-13 19:03:40,10.49,-2.399
2020-3-13 19:13:41,10.14,-2.3977
2020-3-13 19:23:41,9.8,-2.3981
2020-3-13 19:33:42,9.46,-2.3998
2020-3-13 19:43:42,9.14,-2.4009
2020-3-13 19:53:43,8.84,-2.4044
2020-3-13 20:03:43,8.55,-2.403
2020-3-13 20:13:44,8.26,-2.4037
2020-3-13 20:23:44,8.0,-2.4083
2020-3-13 20:33:45,7.76,-2.4097
2020-3-13 20:43:45,7.54,-2.4074
2020-3-13 20:53:46,7.39,-2.4091
2020-3-13 21:03:46,7.26,-2.41
2020-3-13 21:13:47,7.11,-2.4103
2020-3-13 21:23:47,7.02,-2.4139
2020-3-13 21:33:48,7.0,-2.4142
2020-3-13 21:43:48,6.96,-2.4124
2020-3-13 21:53:49,6.99,-2.4126
2020-3-13 22:03:49,6.94,-2.4128
2020-3-13 22:13:50,6.86,-2.4143
2020-3-13 22:23:51,6.83,-2.414
2020-3-13 22:33:51,6.82,-2.4148
2020-3-13 22:43:52,6.82,-2.4148
2020-3-13 22:53:52,6.83,-2.4145
2020-3-13 23:03:53,6.93,-2.4149
2020-3-13 23:13:58,7.0,-2.4143
2020-3-13 23:23:54,7.09,-2.4148
2020-3-13 23:33:54,7.17,-2.4147
2020-3-13 23:43:55,7.21,-2.4141
2020-3-13 23:53:55,7.25,-2.4144
2020-3-14 0:03:56,7.28,-2.4147
2020-3-14 0:13:56,7.32,-2.4144
2020-3-14 0:23:57,7.36,-2.4145
2020-3-14 0:33:57,7.34,-2.4156
2020-3-14 0:43:58,7.36,-2.4152
2020-3-14 0:53:58,7.39,-2.4154
2020-3-14 1:03:59,7.4,-2.4148
2020-3-14 1:13:59,7.38,-2.4152
2020-3-14 1:24:00,7.3,-2.4151
2020-3-14 1:34:00,7.25,-2.4153
2020-3-14 1:44:01,7.2,-2.4153
2020-3-14 1:54:01,7.15,-2.4186
2020-3-14 2:04:02,7.1,-2.4164
2020-3-14 2:14:02,7.04,-2.4172
2020-3-14 2:24:03,7.01,-2.4173
2020-3-14 2:34:03,7.01,-2.4172
2020-3-14 2:44:04,7.09,-2.418
2020-3-14 2:54:05,7.14,-2.4179
2020-3-14 3:04:05,7.14,-2.4177
2020-3-14 3:14:06,7.16,-2.4199
2020-3-14 3:24:06,7.16,-2.4169
2020-3-14 3:34:07,7.15,-2.4175
2020-3-14 3:44:07,7.15,-2.4178
2020-3-14 3:54:08,7.13,-2.4187
2020-3-14 4:04:08,7.11,-2.418
2020-3-14 4:14:09,7.09,-2.4182
2020-3-14 4:24:09,7.08,-2.4185
2020-3-14 4:34:10,7.05,-2.4191
2020-3-14 4:44:10,7.01,-2.4189
2020-3-14 4:54:11,7.01,-2.4188
2020-3-14 5:04:11,6.99,-2.4196
2020-3-14 5:14:17,6.98,-2.4198
2020-3-14 5:24:12,6.96,-2.4222
2020-3-14 5:34:13,6.95,-2.4199
2020-3-14 5:44:13,6.94,-2.4202
2020-3-14 5:54:14,6.94,-2.4207
2020-3-14 6:04:14,6.93,-2.4232
2020-3-14 6:14:15,6.93,-2.4203
2020-3-14 6:24:15,6.92,-2.4206
2020-3-14 6:34:16,6.91,-2.423
2020-3-14 6:44:16,6.91,-2.4204
